state,year,tc_loss_ha
Negeri Sembilan,2023,5854
Pahang,2023,44907
Perak,2023,17572
Perlis,2023,218
Pulau Pinang,2023,894
Putrajaya,2023,22
Sabah,2023,81567
Sarawak,2023,85124
Selangor,2023,5657
Trengganu,2023,10309
Johor,2024,19268
Kedah,2024,6900
Kelantan,2024,19725
Kuala Lumpur,2024,15
Labuan,2024,19
Melaka,2024,2103
Negeri Sembilan,2024,5846
Pahang,2024,38448
Perak,2024,14915
Perlis,2024,267
Pulau Pinang,2024,385
Putrajaya,2024,18
Sabah,2024,75672
Sarawak,2024,79341
Selangor,2024,4768
Trengganu,2024,14841
